Equipment Name,Type,Flowrate,Pressure,Temperature
Pump-1,Pump,349.37,104.18,377.67
Reactor-2,Reactor,329.29,73.79,411.49
Reactor-3,Reactor,98.79,165.46,176.12
Storage Tank-4,Storage Tank,998.24,26.19,425.16
Pump-5,Pump,696.85,117.71,268.69
Pump-6,Pump,670.8,176.61,277.71
Reactor-7,Reactor,473.3,194.55,462.26
Compressor-8,Compressor,760.77,71.34,247.34
Pump-9,Pump,640.03,43.68,73.86
Storage Tank-10,Storage Tank,36.56,195.75,454.8
Compressor-11,Compressor,682.36,65.59,112.6
Distillation Column-12,Distillation Column,801.93,34.19,312.02
Valve-13,Valve,10.36,16.67,99.17
Storage Tank-14,Storage Tank,890.75,109.87,22.73
Valve-15,Valve,155.66,56.96,413.69
Storage Tank-16,Storage Tank,600.1,98.44,355.36
Heat Exchanger-17,Heat Exchanger,359.17,130.91,434.59
Heat Exchanger-18,Heat Exchanger,512.03,164.87,447.79
Compressor-19,Compressor,383.51,99.57,358.97
Heat Exchanger-20,Heat Exchanger,116.79,125.79,41.39
Valve-21,Valve,647.73,67.9,124.81
Heat Exchanger-22,Heat Exchanger,22.89,187.19,315.92
Storage Tank-23,Storage Tank,419.0,38.11,273.64
Distillation Column-24,Distillation Column,329.71,100.56,330.39
Valve-25,Valve,854.17,93.89,398.57
Distillation Column-26,Distillation Column,898.86,40.45,48.69
Pump-27,Pump,58.97,91.29,178.34
Distillation Column-28,Distillation Column,173.53,15.8,491.5
Heat Exchanger-29,Heat Exchanger,386.39,59.13,392.67
Distillation Column-30,Distillation Column,372.39,50.86,332.11
Heat Exchanger-31,Heat Exchanger,946.02,97.89,33.16
Compressor-32,Compressor,585.72,139.63,45.81
Distillation Column-33,Distillation Column,918.88,54.85,206.43
Valve-34,Valve,718.43,23.99,81.04
Valve-35,Valve,273.0,109.65,242.39
Valve-36,Valve,885.88,120.58,207.2
Heat Exchanger-37,Heat Exchanger,319.74,185.67,461.34
Pump-38,Pump,833.65,106.15,327.48
Reactor-39,Reactor,913.69,123.85,244.03
Storage Tank-40,Storage Tank,99.67,140.59,300.42
Compressor-41,Compressor,2.71,102.04,477.45
Compressor-42,Compressor,938.15,13.79,359.29
Heat Exchanger-43,Heat Exchanger,516.04,132.75,315.55
Reactor-44,Reactor,459.52,12.27,437.92
Distillation Column-45,Distillation Column,692.93,154.71,485.39
Storage Tank-46,Storage Tank,851.08,163.79,471.82
Valve-47,Valve,945.0,152.64,108.34
Reactor-48,Reactor,215.0,173.39,426.95
Valve-49,Valve,67.53,186.52,97.59
Distillation Column-50,Distillation Column,932.0,167.29,363.5
Distillation Column-51,Distillation Column,821.44,39.21,140.71
Reactor-52,Reactor,124.19,46.8,357.87
Distillation Column-53,Distillation Column,80.48,59.28,175.02
Compressor-54,Compressor,800.99,171.71,120.1
Valve-55,Valve,961.94,86.51,314.26
Storage Tank-56,Storage Tank,929.84,125.36,174.24
Valve-57,Valve,91.49,191.89,23.32
Heat Exchanger-58,Heat Exchanger,568.11,172.67,311.63
Compressor-59,Compressor,144.8,177.09,164.57
Reactor-60,Reactor,645.85,53.45,409.29
Pump-61,Pump,233.9,89.25,212.51
Compressor-62,Compressor,756.4,183.46,70.37
Heat Exchanger-63,Heat Exchanger,173.61,111.29,281.65
Reactor-64,Reactor,711.63,82.43,27.17
Distillation Column-65,Distillation Column,69.51,65.76,305.14
Compressor-66,Compressor,582.79,43.64,327.48
Storage Tank-67,Storage Tank,539.64,98.5,452.7
Distillation Column-68,Distillation Column,604.48,86.18,81.01
Distillation Column-69,Distillation Column,918.81,136.97,329.41
Storage Tank-70,Storage Tank,454.64,38.58,311.45
Storage Tank-71,Storage Tank,640.09,95.4,165.23
Pump-72,Pump,780.69,141.85,159.41
Compressor-73,Compressor,360.35,20.98,70.35
Reactor-74,Reactor,804.61,185.94,424.76
Distillation Column-75,Distillation Column,716.66,3.21,239.62
Valve-76,Valve,304.6,39.46,381.0
Distillation Column-77,Distillation Column,354.32,95.64,99.89
Compressor-78,Compressor,421.9,13.02,244.12
Reactor-79,Reactor,7.41,119.39,205.91
Reactor-80,Reactor,923.01,26.38,270.07
Distillation Column-81,Distillation Column,730.65,147.35,326.44
Storage Tank-82,Storage Tank,894.92,62.84,369.72
Pump-83,Pump,245.72,140.89,27.96
Storage Tank-84,Storage Tank,227.73,131.9,195.63
Reactor-85,Reactor,410.36,121.57,361.98
Heat Exchanger-86,Heat Exchanger,900.0,54.53,156.39
